service_date,day_type,bus_boardings,rail_boardings,total_rides
12/26/22,U,205368,123005,328373
12/27/22,W,315154,202638,517792
12/28/22,W,321472,212073,533545
12/29/22,W,347158,231287,578445
12/30/22,W,364899,243067,607966
12/31/22,A,257498,181031,438529
1/1/23,U,164489,140776,305265
1/2/23,U,254124,165797,419921
1/3/23,W,383247,275846,659093
1/4/23,W,398456,292474,690930
1/5/23,W,384238,292708,676946
1/6/23,W,371923,258636,630559
1/7/23,A,272633,183930,456563
1/8/23,U,209397,145377,354774
1/9/23,W,449465,296803,746268
1/10/23,W,499769,345615,845384
1/11/23,W,499126,343468,842594
1/12/23,W,474679,340171,814850
1/13/23,W,443233,292169,735402
1/14/23,A,288502,201672,490174
1/15/23,U,220389,154138,374527
1/16/23,W,295880,196321,492201
1/17/23,W,496926,344762,841688
1/18/23,W,495410,346875,842285
1/19/23,W,479283,347238,826521
1/20/23,W,457848,296350,754198
1/21/23,A,285487,196802,482289
1/22/23,U,201809,140538,342347
1/23/23,W,468304,307836,776140
1/24/23,W,505791,355136,860927
1/25/23,W,462648,337076,799724
1/26/23,W,484428,350067,834495
1/27/23,W,435531,290048,725579
1/28/23,A,270454,190883,461337
1/29/23,U,199420,144673,344093
1/30/23,W,420711,284230,704941
1/31/23,W,428116,311121,739237
2/1/23,W,488390,332706,821096
2/2/23,W,488230,339244,827474
2/3/23,W,367206,247871,615077
2/4/23,A,295858,188543,484401
2/5/23,U,228506,147681,376187
2/6/23,W,489061,304675,793736
2/7/23,W,512128,348998,861126
2/8/23,W,517223,348441,865664
2/9/23,W,456891,326676,783567
2/10/23,W,480757,289003,769760
2/11/23,A,305427,182401,487828
2/12/23,U,228971,139964,368935
2/13/23,W,477325,298814,776139
2/14/23,W,510605,355572,866177
2/15/23,W,498251,346762,845013
2/16/23,W,450939,324574,775513
2/17/23,W,447365,297527,744892
2/18/23,A,307618,213471,521089
2/19/23,U,241433,167599,409032
2/20/23,W,371110,251523,622633
2/21/23,W,512268,349053,861321
2/22/23,W,445175,320183,765358
2/23/23,W,500377,349987,850364
2/24/23,W,468093,303528,771621
2/25/23,A,313877,199947,513824
2/26/23,U,246373,152718,399091
2/27/23,W,438886,284156,723042
2/28/23,W,516342,350093,866435
3/1/23,W,538035,357399,895434
3/2/23,W,505862,352552,858414
3/3/23,W,441984,285055,727039
3/4/23,A,332481,209545,542026
3/5/23,U,246208,156086,402294
3/6/23,W,470524,303195,773719
3/7/23,W,528413,362941,891354
3/8/23,W,521850,359517,881367
3/9/23,W,498577,352220,850797
3/10/23,W,466305,312533,778838
3/11/23,A,326961,340919,667880
3/12/23,U,215765,159274,375039
3/13/23,W,459265,307389,766654
3/14/23,W,524325,366497,890822
3/15/23,W,535449,367880,903329
3/16/23,W,499382,360728,860110
3/17/23,W,435055,319561,754616
3/18/23,A,284653,199267,483920
3/19/23,U,238907,157695,396602
3/20/23,W,478059,300593,778652
3/21/23,W,510959,347098,858057
3/22/23,W,499380,340260,839640
3/23/23,W,489519,342562,832081
3/24/23,W,475520,306297,781817
3/25/23,A,287548,202198,489746
3/26/23,U,222855,179536,402391
3/27/23,W,493436,320115,813551
3/28/23,W,521594,365749,887343
3/29/23,W,470430,353192,823622
3/30/23,W,517477,388264,905741
3/31/23,W,467904,309609,777513
4/1/23,A,315267,235235,550502
4/2/23,U,261251,191192,452443
4/3/23,W,439537,304009,743546
4/4/23,W,428000,325448,753448
4/5/23,W,438936,335701,774637
4/6/23,W,459977,353018,812995
4/7/23,W,419926,312653,732579
4/8/23,A,333736,244038,577774
4/9/23,U,237320,168475,405795
4/10/23,W,492576,324608,817184
4/11/23,W,539533,388288,927821
4/12/23,W,516841,388965,905806
4/13/23,W,541076,386440,927516
4/14/23,W,518497,353807,872304
4/15/23,A,360082,254964,615046
4/16/23,U,229968,157603,387571
4/17/23,W,458530,310077,768607
4/18/23,W,523866,378471,902337
4/19/23,W,527267,380103,907370
4/20/23,W,516298,393967,910265
4/21/23,W,505681,360742,866423
4/22/23,A,329493,240134,569627
4/23/23,U,245927,174185,420112
4/24/23,W,502642,328298,830940
4/25/23,W,516696,378228,894924
4/26/23,W,539161,388688,927849
4/27/23,W,532971,395661,928632
4/28/23,W,503332,340242,843574
4/29/23,A,331120,224434,555554
4/30/23,U,238929,165311,404240
5/1/23,W,482348,315630,797978
5/2/23,W,530573,372211,902784
5/3/23,W,555155,381538,936693
5/4/23,W,542958,391265,934223
5/5/23,W,518792,367635,886427
5/6/23,A,354490,259476,613966
5/7/23,U,281403,198280,479683
5/8/23,W,469174,325860,795034
5/9/23,W,548033,396388,944421
5/10/23,W,544618,397870,942488
5/11/23,W,533940,384804,918744
5/12/23,W,481927,328362,810289
5/13/23,A,344247,221075,565322
5/14/23,U,233363,156364,389727
5/15/23,W,486638,320403,807041
5/16/23,W,533948,384145,918093
5/17/23,W,527429,382604,910033
5/18/23,W,525435,390005,915440
5/19/23,W,486435,337006,823441
5/20/23,A,354750,241214,595964
5/21/23,U,273007,193053,466060
5/22/23,W,499608,333292,832900
5/23/23,W,537810,406630,944440
5/24/23,W,535858,401039,936897
5/25/23,W,528009,395099,923108
5/26/23,W,497832,356184,854016
5/27/23,A,340968,290957,631925
5/28/23,U,273385,247157,520542
5/29/23,U,269683,209702,479385
5/30/23,W,517974,382375,900349
5/31/23,W,517111,389469,906580
6/1/23,W,544178,393187,937365
6/2/23,W,514354,386122,900476
6/3/23,A,371914,300646,672560
6/4/23,U,278304,238509,516813
6/5/23,W,511045,350028,861073
6/6/23,W,522067,389250,911317
6/7/23,W,535180,390851,926031
6/8/23,W,493065,387473,880538
6/9/23,W,476837,381247,858084
6/10/23,A,379556,320326,699882
6/11/23,U,239715,193563,433278
6/12/23,W,457944,327050,784994
6/13/23,W,450859,375000,825859
6/14/23,W,493401,392696,886097
6/15/23,W,482965,398441,881406
6/16/23,W,453530,361553,815083
6/17/23,A,372865,295909,668774
6/18/23,U,272736,221073,493809
6/19/23,W,384578,261569,646147
6/20/23,W,488457,375171,863628
6/21/23,W,495689,401487,897176
6/22/23,W,486237,402155,888392
6/23/23,W,469905,383443,853348
6/24/23,A,369643,298557,668200
6/25/23,U,258229,295714,553943
6/26/23,W,445453,323554,769007
6/27/23,W,496729,395754,892483
6/28/23,W,496731,392034,888765
6/29/23,W,470303,393963,864266
6/30/23,W,473836,378120,851956
7/1/23,A,335143,311337,646480
7/2/23,U,170177,192380,362557
7/3/23,W,444738,293378,738116
7/4/23,U,281675,195858,477533
7/5/23,W,448241,324432,772673
7/6/23,W,495284,375201,870485
7/7/23,W,479367,347499,826866
7/8/23,A,352631,259570,612201
7/9/23,U,281445,205204,486649
7/10/23,W,485647,330776,816423
7/11/23,W,483040,372976,856016
7/12/23,W,443121,354104,797225
7/13/23,W,505564,394862,900426
7/14/23,W,476443,373807,850250
7/15/23,A,359874,287408,647282
7/16/23,U,281420,234238,515658
7/17/23,W,480822,349113,829935
7/18/23,W,512122,398713,910835
7/19/23,W,515105,402686,917791
7/20/23,W,502681,414002,916683
7/21/23,W,485225,389288,874513
7/22/23,A,360932,312905,673837
7/23/23,U,288305,247161,535466
7/24/23,W,474506,338496,813002
7/25/23,W,508517,383391,891908
7/26/23,W,478350,371278,849628
7/27/23,W,502581,385163,887744
7/28/23,W,446842,334517,781359
7/29/23,A,364824,286441,651265
7/30/23,U,285496,219936,505432
7/31/23,W,469024,334195,803219
8/1/23,W,528437,389535,917972
8/2/23,W,519583,423358,942941
8/3/23,W,521191,480968,1002159
8/4/23,W,493321,456039,949360
8/5/23,A,338701,346075,684776
8/6/23,U,264872,298188,563060
8/7/23,W,467465,346627,814092
8/8/23,W,508824,388916,897740
8/9/23,W,501770,394563,896333
8/10/23,W,506343,383545,889888
8/11/23,W,472150,370307,842457
8/12/23,A,370464,315090,685554
8/13/23,U,279218,225085,504303
8/14/23,W,408865,290559,699424
8/15/23,W,500013,382517,882530
8/16/23,W,518485,390193,908678
8/17/23,W,484256,366327,850583
8/18/23,W,490626,366654,857280
8/19/23,A,381458,303336,684794
8/20/23,U,296344,239159,535503
8/21/23,W,551302,343866,895168
8/22/23,W,564653,390141,954794
8/23/23,W,531763,365111,896874
8/24/23,W,501750,365055,866805
8/25/23,W,553276,375055,928331
8/26/23,A,361538,273589,635127
8/27/23,U,289983,218533,508516
8/28/23,W,567171,371199,938370
8/29/23,W,585643,418817,1004460
8/30/23,W,589901,420080,1009981
8/31/23,W,579376,413083,992459
9/1/23,W,585674,386812,972486
9/2/23,A,384728,291029,675757
9/3/23,U,309758,248524,558282
9/4/23,U,293106,220411,513517
9/5/23,W,586167,409043,995210
9/6/23,W,578259,425429,1003688
9/7/23,W,597711,442432,1040143
9/8/23,W,555213,397332,952545
9/9/23,A,385592,323033,708625
9/10/23,U,297306,247808,545114
9/11/23,W,504742,356445,861187
9/12/23,W,603242,432403,1035645
9/13/23,W,593103,431950,1025053
9/14/23,W,587439,437320,1024759
9/15/23,W,566708,432176,998884
9/16/23,A,352049,340865,692914
9/17/23,U,252015,219746,471761
9/18/23,W,560810,382031,942841
9/19/23,W,555949,432367,988316
9/20/23,W,599268,447165,1046433
9/21/23,W,581536,449600,1031136
9/22/23,W,525718,400937,926655
9/23/23,A,381816,312772,694588
9/24/23,U,290336,234578,524914
9/25/23,W,552311,370891,923202
9/26/23,W,565172,416619,981791
9/27/23,W,583749,427267,1011016
9/28/23,W,597723,437574,1035297
9/29/23,W,578054,401168,979222
9/30/23,A,391173,301206,692379
10/1/23,U,303953,229368,533321
10/2/23,W,576630,378334,954964
10/3/23,W,619488,434467,1053955
10/4/23,W,610623,445787,1056410
10/5/23,W,584937,447707,1032644
10/6/23,W,559485,428321,987806
10/7/23,A,386990,334134,721124
10/8/23,U,253021,403385,656406
10/9/23,W,452540,366694,819234
10/10/23,W,601129,443465,1044594
10/11/23,W,598019,442594,1040613
10/12/23,W,567954,433731,1001685
10/13/23,W,519462,373986,893448
10/14/23,A,338320,266624,604944
10/15/23,U,293753,222768,516521
10/16/23,W,551971,374520,926491
10/17/23,W,587256,440241,1027497
10/18/23,W,595182,439266,1034448
10/19/23,W,579587,433975,1013562
10/20/23,W,562941,395292,958233
10/21/23,A,364186,309900,674086
10/22/23,U,288942,219804,508746
10/23/23,W,555068,379650,934718
10/24/23,W,598773,434867,1033640
10/25/23,W,570560,426962,997522
10/26/23,W,535013,412606,947619
10/27/23,W,503840,373004,876844
10/28/23,A,360484,275006,635490
10/29/23,U,250473,185823,436296
10/30/23,W,551840,367453,919293
10/31/23,W,520069,390110,910179
11/1/23,W,576336,410084,986420
11/2/23,W,579094,419780,998874
11/3/23,W,563943,373412,937355
11/4/23,A,401704,280222,681926
11/5/23,U,296526,200577,497103
11/6/23,W,568672,375471,944143
11/7/23,W,588549,424318,1012867
11/8/23,W,578329,422082,1000411
11/9/23,W,588110,454074,1042184
11/10/23,W,461731,351382,813113
11/11/23,A,354671,266284,620955
11/12/23,U,294251,195035,489286
11/13/23,W,558320,370511,928831
11/14/23,W,581009,424128,1005137
11/15/23,W,587609,422609,1010218
11/16/23,W,580758,415406,996164
11/17/23,W,544624,418827,963451
11/18/23,A,348044,315864,663908
11/19/23,U,278346,201431,479777
11/20/23,W,472022,334103,806125
11/21/23,W,465329,339605,804934
11/22/23,W,443954,298121,742075
11/23/23,U,187931,128326,316257
11/24/23,W,323157,227199,550356
11/25/23,A,310164,213175,523339
11/26/23,U,219912,160320,380232
11/27/23,W,505729,325992,831721
11/28/23,W,522935,368618,891553
11/29/23,W,553418,387126,940544
11/30/23,W,559855,396342,956197
12/1/23,W,513523,339748,853271
12/2/23,A,358919,260456,619375
12/3/23,U,268845,172945,441790
12/4/23,W,537917,337666,875583
12/5/23,W,556584,384481,941065
12/6/23,W,572732,389802,962534
12/7/23,W,580504,404303,984807
12/8/23,W,561665,372605,934270
12/9/23,A,369433,283097,652530
12/10/23,U,264202,196318,460520
12/11/23,W,517482,326238,843720
12/12/23,W,556451,378617,935068
12/13/23,W,559461,378896,938357
12/14/23,W,558905,384778,943683
12/15/23,W,535654,351722,887376
12/16/23,A,321951,230799,552750
12/17/23,U,271335,184885,456220
12/18/23,W,498940,306545,805485
12/19/23,W,527927,342290,870217
12/20/23,W,540890,343581,884471
12/21/23,W,519383,325377,844760
12/22/23,W,418720,267301,686021
12/23/23,A,341975,206358,548333
12/24/23,U,247277,141693,388970
12/25/23,U,145433,80206,225639
12/26/23,W,360458,208665,569123
12/27/23,W,403147,252136,655283
12/28/23,W,392855,253397,646252
12/29/23,W,415822,261610,677432
12/30/23,A,340207,212901,553108
12/31/23,U,250204,187144,437348
1/1/24,U,205964,152767,358731
1/2/24,W,417384,278216,695600
1/3/24,W,451613,307037,758650
1/4/24,W,460277,317437,777714
1/5/24,W,445488,280897,726385
1/6/24,A,308872,196983,505855
1/7/24,U,249187,152158,401345
1/8/24,W,517198,326817,844015
1/9/24,W,478685,330005,808690
1/10/24,W,548560,369768,918328
1/11/24,W,552911,377922,930833
1/12/24,W,368347,239249,607596
1/13/24,A,286037,183824,469861
1/14/24,U,146724,93057,239781
1/15/24,W,206791,127069,333860
1/16/24,W,280514,185903,466417
1/17/24,W,466850,322741,789591
1/18/24,W,521058,362414,883472
1/19/24,W,462986,293650,756636
1/20/24,A,301556,191705,493261
1/21/24,U,227288,147028,374316
1/22/24,W,518106,336751,854857
1/23/24,W,521585,369664,891249
1/24/24,W,549204,389714,938918
1/25/24,W,554313,390971,945284
1/26/24,W,534739,329826,864565
1/27/24,A,349068,222033,571101
1/28/24,U,255458,158081,413539
1/29/24,W,545769,340556,886325
1/30/24,W,571297,388718,960015
1/31/24,W,579236,389322,968558
2/1/24,W,601932,393012,994944
2/2/24,W,558905,329307,888212
2/3/24,A,372165,230410,602575
2/4/24,U,274654,168339,442993
2/5/24,W,558625,339256,897881
2/6/24,W,595983,390513,986496
2/7/24,W,595233,389227,984460
2/8/24,W,584729,391355,976084
2/9/24,W,515769,333453,849222
2/10/24,A,373420,231891,605311
2/11/24,U,277432,165836,443268
2/12/24,W,534181,325070,859251
2/13/24,W,598961,395880,994841
2/14/24,W,595347,397294,992641
2/15/24,W,568392,387472,955864
2/16/24,W,533701,325332,859033
2/17/24,A,340993,224306,565299
2/18/24,U,280002,189881,469883
2/19/24,W,417871,271357,689228
2/20/24,W,591252,389327,980579
2/21/24,W,600241,395915,996156
2/22/24,W,587867,396466,984333
2/23/24,W,551392,336416,887808
2/24/24,A,345189,225233,570422
2/25/24,U,280214,175446,455660
2/26/24,W,560355,347691,908046
2/27/24,W,587359,392420,979779
2/28/24,W,549028,375242,924270
2/29/24,W,577283,386672,963955
3/1/24,W,569569,335736,905305
3/2/24,A,389713,252550,642263
3/3/24,U,298601,184885,483486
3/4/24,W,556051,334107,890158
3/5/24,W,570139,383689,953828
3/6/24,W,595103,393574,988677
3/7/24,W,580398,390865,971263
3/8/24,W,488443,314783,803226
3/9/24,A,379680,245369,625049
3/10/24,U,280181,178611,458792
3/11/24,W,567851,351801,919652
3/12/24,W,599389,411314,1010703
3/13/24,W,597287,416180,1013467
3/14/24,W,539322,393348,932670
3/15/24,W,566639,386514,953153
3/16/24,A,399006,499424,898430
3/17/24,U,281004,206731,487735
3/18/24,W,535201,346463,881664
3/19/24,W,583292,396834,980126
3/20/24,W,584856,392077,976933
3/21/24,W,564484,383735,948219
3/22/24,W,491011,318712,809723
3/23/24,A,373194,249326,622520
3/24/24,U,279349,206108,485457
3/25/24,W,474355,319635,793990
3/26/24,W,514563,359360,873923
3/27/24,W,515194,364672,879866
3/28/24,W,513043,374590,887633
3/29/24,W,480044,313507,793551
3/30/24,A,375490,244072,619562
3/31/24,U,251600,158867,410467
4/1/24,W,478962,333881,812843
4/2/24,W,570490,393519,964009
4/3/24,W,572710,395413,968123
4/4/24,W,575373,401414,976787
4/5/24,W,576732,375602,952334
4/6/24,A,397658,286304,683962
4/7/24,U,256839,185460,442299
4/8/24,W,560623,352426,913049
4/9/24,W,593688,400628,994316
4/10/24,W,604655,405524,1010179
4/11/24,W,557100,397195,954295
4/12/24,W,582983,365492,948475
4/13/24,A,412391,281343,693734
4/14/24,U,327938,210780,538718
4/15/24,W,588349,369259,957608
4/16/24,W,599597,405400,1004997
4/17/24,W,600084,408474,1008558
4/18/24,W,606325,417750,1024075
4/19/24,W,591814,383321,975135
4/20/24,A,406861,279746,686607
4/21/24,U,307107,203722,510829
4/22/24,W,576206,353190,929396
4/23/24,W,600004,410045,1010049
4/24/24,W,599179,416815,1015994
4/25/24,W,615343,428724,1044067
4/26/24,W,554146,355278,909424
4/27/24,A,419731,286199,705930
4/28/24,U,293589,196481,490070
4/29/24,W,556233,349857,906090
4/30/24,W,632501,409097,1041598
5/1/24,W,644438,416920,1061358
5/2/24,W,600203,409105,1009308
5/3/24,W,608085,388593,996678
5/4/24,A,418067,299808,717875
5/5/24,U,317248,226928,544176
5/6/24,W,597540,379559,977099
5/7/24,W,572181,412646,984827
5/8/24,W,624927,443868,1068795
5/9/24,W,569230,406557,975787
5/10/24,W,591810,378284,970094
5/11/24,A,416481,273276,689757
5/12/24,U,318883,203067,521950
5/13/24,W,550608,349237,899845
5/14/24,W,598482,410254,1008736
5/15/24,W,615430,419635,1035065
5/16/24,W,601542,434466,1036008
5/17/24,W,595193,402254,997447
5/18/24,A,430341,315833,746174
5/19/24,U,329129,250996,580125
5/20/24,W,561715,366053,927768
5/21/24,W,618559,443937,1062496
5/22/24,W,621123,450124,1071247
5/23/24,W,609570,457738,1067308
5/24/24,W,557209,368883,926092
5/25/24,A,420064,342285,762349
5/26/24,U,279820,220267,500087
5/27/24,U,306648,205186,511834
5/28/24,W,585174,396139,981313
5/29/24,W,612055,423439,1035494
5/30/24,W,604848,424200,1029048
5/31/24,W,590998,410904,1001902
6/1/24,A,359226,257545,616771
6/2/24,U,347275,256837,604112
6/3/24,W,594326,377947,972273
6/4/24,W,602909,443126,1046035
6/5/24,W,602717,450039,1052756
6/6/24,W,606273,440625,1046898
6/7/24,W,538174,384835,923009
6/8/24,A,388074,295372,683446
6/9/24,U,338317,265680,603997
6/10/24,W,521105,360674,881779
6/11/24,W,556731,415884,972615
6/12/24,W,576142,423834,999976
6/13/24,W,541343,414773,956116
6/14/24,W,536639,412548,949187
6/15/24,A,421892,329557,751449
6/16/24,U,314305,239123,553428
6/17/24,W,500089,363300,863389
6/18/24,W,551782,426829,978611
6/19/24,W,482860,349203,832063
6/20/24,W,548449,411020,959469
6/21/24,W,539303,406032,945335
6/22/24,A,430009,334791,764800
6/23/24,U,333514,259057,592571
6/24/24,W,535003,366575,901578
6/25/24,W,537591,390929,928520
6/26/24,W,586929,426272,1013201
6/27/24,W,573982,434454,1008436
6/28/24,W,519127,372226,891353
6/29/24,A,426204,296659,722863
6/30/24,U,332479,322925,655404
7/1/24,W,556122,362056,918178
7/2/24,W,554430,411251,965681
7/3/24,W,575361,404738,980099
7/4/24,U,319593,237409,557002
7/5/24,W,472097,346546,818643
7/6/24,A,400805,322596,723401
7/7/24,U,304485,241639,546124
7/8/24,W,523371,364702,888073
7/9/24,W,543503,400891,944394
7/10/24,W,560627,409640,970267
7/11/24,W,569850,418692,988542
7/12/24,W,548479,381120,929599
7/13/24,A,424138,300881,725019
7/14/24,U,303034,217483,520517
7/15/24,W,514909,360359,875268
7/16/24,W,565584,408295,973879
7/17/24,W,579034,417491,996525
7/18/24,W,563700,423510,987210
7/19/24,W,536479,407254,943733
7/20/24,A,415213,336971,752184
7/21/24,U,336062,262703,598765
7/22/24,W,536657,384948,921605
7/23/24,W,563934,431681,995615
7/24/24,W,574946,434300,1009246
7/25/24,W,571492,427841,999333
7/26/24,W,543502,393133,936635
7/27/24,A,426551,328573,755124
7/28/24,U,305854,225835,531689
7/29/24,W,499487,347579,847066
7/30/24,W,564465,418450,982915
7/31/24,W,553120,451191,1004311
8/1/24,W,554928,506493,1061421
8/2/24,W,540073,474521,1014594
8/3/24,A,424966,401995,826961
8/4/24,U,330850,304125,634975
8/5/24,W,501014,373023,874037
8/6/24,W,536195,418245,954440
8/7/24,W,572289,435129,1007418
8/8/24,W,555177,415675,970852
8/9/24,W,534634,407471,942105
8/10/24,A,429880,355517,785397
8/11/24,U,335905,277892,613797
8/12/24,W,511004,367635,878639
8/13/24,W,561949,432482,994431
8/14/24,W,566338,414324,980662
8/15/24,W,519903,391361,911264
8/16/24,W,526888,392699,919587
8/17/24,A,388616,312275,700891
8/18/24,U,319383,253295,572678
8/19/24,W,498548,335708,834256
8/20/24,W,521241,361335,882576
8/21/24,W,528372,364450,892822
8/22/24,W,529364,377301,906665
8/23/24,W,519640,368235,887875
8/24/24,A,404561,296195,700756
8/25/24,U,325668,239814,565482
8/26/24,W,596306,376308,972614
8/27/24,W,583649,409119,992768
8/28/24,W,637588,442189,1079777
8/29/24,W,644581,469123,1113704
8/30/24,W,606824,417283,1024107
8/31/24,A,428266,353476,781742
9/1/24,U,344967,290763,635730
9/2/24,U,325776,239695,565471
9/3/24,W,654167,437190,1091357
9/4/24,W,653220,454140,1107360
9/5/24,W,644748,447217,1091965
9/6/24,W,616701,434618,1051319
9/7/24,A,409867,335343,745210
9/8/24,U,320438,267262,587700
9/9/24,W,618371,405350,1023721
9/10/24,W,646216,451939,1098155
9/11/24,W,655564,452664,1108228
9/12/24,W,637736,454382,1092118
9/13/24,W,610703,407861,1018564
9/14/24,A,412078,324266,736344
9/15/24,U,308413,257266,565679
9/16/24,W,607976,412568,1020544
9/17/24,W,651158,466890,1118048
9/18/24,W,655614,467380,1122994
9/19/24,W,652616,478448,1131064
9/20/24,W,622603,444850,1067453
9/21/24,A,433756,343362,777118
9/22/24,U,271129,219586,490715
9/23/24,W,613582,407176,1020758
9/24/24,W,582939,434551,1017490
9/25/24,W,669879,472330,1142209
9/26/24,W,659106,474890,1133996
9/27/24,W,564419,418093,982512
9/28/24,A,384642,312755,697397
9/29/24,U,312714,246922,559636
9/30/24,W,619994,406220,1026214
10/1/24,W,675858,457355,1133213
10/2/24,W,663546,452173,1115719
10/3/24,W,670461,454449,1124910
10/4/24,W,619444,409598,1029042
10/5/24,A,431370,318359,749729
10/6/24,U,336190,248486,584676
10/7/24,W,623133,406230,1029363
10/8/24,W,652969,459661,1112630
10/9/24,W,661361,467517,1128878
10/10/24,W,650278,485221,1135499
10/11/24,W,624145,456909,1081054
10/12/24,A,427732,369877,797609
10/13/24,U,280965,466771,747736
10/14/24,W,486971,384342,871313
10/15/24,W,582685,444249,1026934
10/16/24,W,652964,462121,1115085
10/17/24,W,650082,466090,1116172
10/18/24,W,627426,413404,1040830
10/19/24,A,425987,354109,780096
10/20/24,U,321239,239392,560631
10/21/24,W,619582,403752,1023334
10/22/24,W,642373,451887,1094260
10/23/24,W,653689,461471,1115160
10/24/24,W,654696,465121,1119817
10/25/24,W,611655,408835,1020490
10/26/24,A,427475,296326,723801
10/27/24,U,312965,215594,528559
10/28/24,W,611041,389359,1000400
10/29/24,W,652674,444706,1097380
10/30/24,W,657942,451915,1109857
10/31/24,W,605292,425596,1030888
11/1/24,W,618998,381782,1000780
11/2/24,A,410559,281277,691836
11/3/24,U,267845,227887,495732
11/4/24,W,553515,383217,936732
11/5/24,W,519574,379110,898684
11/6/24,W,631969,427995,1059964
11/7/24,W,644506,450680,1095186
11/8/24,W,601808,396291,998099
11/9/24,A,391070,288855,679925
11/10/24,U,306889,232420,539309
11/11/24,W,556273,358572,914845
11/12/24,W,640199,437888,1078087
11/13/24,W,633647,434362,1068009
11/14/24,W,620448,439564,1060012
11/15/24,W,603141,397040,1000181
11/16/24,A,399551,316374,715925
11/17/24,U,308995,233733,542728
11/18/24,W,565097,383053,948150
11/19/24,W,639269,439683,1078952
11/20/24,W,625498,428958,1054456
11/21/24,W,539977,414493,954470
11/22/24,W,583958,431451,1015409
11/23/24,A,384030,340935,724965
11/24/24,U,301518,222021,523539
11/25/24,W,512387,344627,857014
11/26/24,W,518470,356826,875296
11/27/24,W,477247,308919,786166
11/28/24,U,190991,132382,323373
11/29/24,W,344005,224635,568640
11/30/24,A,308864,217565,526429
12/1/24,U,251107,175212,426319
12/2/24,W,554092,349175,903267
12/3/24,W,607733,405908,1013641
12/4/24,W,600576,411039,1011615
12/5/24,W,564481,401576,966057
12/6/24,W,559457,371522,930979
12/7/24,A,384908,286352,671260
12/8/24,U,310160,216292,526452
12/9/24,W,585535,364276,949811
12/10/24,W,597740,406353,1004093
12/11/24,W,580091,398016,978107
12/12/24,W,481459,350852,832311
12/13/24,W,521773,360766,882539
12/14/24,A,347954,262799,610753
12/15/24,U,277186,198006,475192
12/16/24,W,551435,342529,893964
12/17/24,W,582711,391307,974018
12/18/24,W,577854,382314,960168
12/19/24,W,552524,373795,926319
12/20/24,W,509530,326711,836241
12/21/24,A,346988,234439,581427
12/22/24,U,271433,188272,459705
12/23/24,W,425982,267754,693736
12/24/24,W,341225,181487,522712
12/25/24,U,146592,86287,232879
12/26/24,W,366721,225335,592056
12/27/24,W,394689,245475,640164
12/28/24,A,348599,222891,571490
12/29/24,U,231003,158657,389660
12/30/24,W,447644,285475,733119
12/31/24,W,386206,281447,667653